Country,CountryCode,Year,Inflation (Annual %),GDP Growth (Annual %),Total Population,FDI Net Inflows (% of GDP),GDP (Current US$),Gross Savings (% of GDP)
USA,USA,2019,1.81,2.58,328329953,1.47,21539982000000,19.43
USA,USA,2020,1.23,-2.16,331526933,0.64,21354105000000,18.39
USA,USA,2021,4.70,6.06,332048977,2.01,23681171000000,17.75
USA,USA,2022,8.00,2.51,333271411,1.57,26006893000000,18.42
USA,USA,2023,4.12,2.89,338505183,1.26,27720709000000,18.66
USA,USA,2024,2.95,2.80,341145500,1.30,29184900000000,17.40
Japan,JPN,2019,0.47,-0.40,126633000,0.78,5117993853017,29.17
Japan,JPN,2020,-0.02,-4.15,126261000,1.24,5055587093502,28.17
Japan,JPN,2021,-0.23,2.56,125681593,0.70,5034620784585,29.55
Japan,JPN,2022,2.50,0.95,125124989,1.13,4256410760724,28.45
Japan,JPN,2023,3.27,1.68,124516650,0.49,4204494802432,29.86
Japan,JPN,2024,2.74,0.10,123753041,0.70,4030000000000,24.60
India,IND,2019,3.73,3.87,1389030312,1.78,2835606256558,29.70
India,IND,2020,6.62,-5.78,1402617695,2.41,2674851578587,28.68
India,IND,2021,5.13,9.69,1414203896,1.41,3167270623260,29.87
India,IND,2022,6.70,6.99,1425423212,1.49,3353470496886,29.89
India,IND,2023,5.65,8.15,1438069596,0.79,3567551674623,30.66
India,IND,2024,4.95,6.50,1450935791,0.50,3910000000000,30.70
Germany,DEU,2019,1.45,0.99,83092962,1.91,3957208055216,27.47
Germany,DEU,2020,0.14,-4.10,83160871,4.49,3940142541354,26.94
Germany,DEU,2021,3.07,3.67,83196078,2.35,4348297440388,28.19
Germany,DEU,2022,6.87,1.37,83797985,1.51,4163596357879,25.68
Germany,DEU,2023,5.95,-0.27,84548231,0.43,4525703903628,26.59
Germany,DEU,2024,2.26,-0.20,84552242,-2.00,4658000000000,29.00
China,CHN,2019,2.90,5.95,1407745000,1.31,14279968506272,43.77
China,CHN,2020,2.42,2.24,1411100000,1.72,14687744162801,43.93
China,CHN,2021,0.98,8.45,1412360000,1.93,17820459508852,45.47
China,CHN,2022,1.97,2.95,1412175000,1.06,17881782683707,45.81
China,CHN,2023,0.23,5.25,1422584933,0.24,17794783039552,43.61
China,CHN,2024,0.22,4.90,1419321278,0.20,18750000000000,42.70
